Distance_(pixels),Gray_Value
1105,136.755
1106,112.783
1107,90.796
1108,70.335
1109,51.675
1110,35.544
1111,26.127
1112,26.492
1113,28.650
1114,30.006
1115,27.796
1116,24.894
1117,21.485
1118,21.293
1119,24.773
1120,33.359
1121,47.007
1122,69.746
1123,98.788
1124,134.179
1125,173.289
1126,198.213
1127,216.116
1128,229.473
1129,234.562
1130,223.464
1131,212.786
1132,193.575
1133,169.261
1134,137.307
1135,111.492
1136,85.704
1137,65.549
1138,50.815
1139,38.714
1140,28.423
1141,23.743
1142,25.137
1143,24.365
1144,24.914
1145,23.630
1146,22.383
1147,21.693
1148,25.179
1149,33.950
1150,50.873
1151,73.697
1152,104.100
1153,125.078
1154,146.251
1155,172.829
1156,192.495
1157,201.607
1158,198.245
1159,194.851
1160,185.692
1161,174.435
1162,157.521
1163,143.470
1164,117.921
1165,100.207
1166,80.753
1167,64.181
1168,44.510
1169,30.199
1170,23.158
1171,25.223
1172,25.763
1173,24.959
1174,25.638
1175,24.677
1176,24.493
1177,28.907
1178,38.658
1179,51.968
1180,73.594
1181,101.092
1182,135.486
1183,158.309
1184,184.693
1185,195.392
1186,208.187
1187,211.138
1188,206.100
1189,194.658
1190,178.073
1191,160.913
1192,136.316
1193,111.909
1194,85.618
1195,68.988
1196,47.971
1197,33.059
1198,23.798
1199,29.354
1200,33.023
1201,35.729
1202,37.212
1203,34.507
1204,31.150
1205,26.742
1206,27.802
1207,31.448
1208,43.628
1209,63.022
1210,92.436
1211,118.349
1212,149.634
1213,175.718
1214,203.428
1215,214.922
1216,225.412
1217,219.032
1218,209.537
1219,198.179
1220,168.434
1221,149.668
1222,122.810
1223,99.163
1224,73.765
1225,54.871
1226,36.678
1227,28.087
1228,32.927
1229,38.414
1230,38.941
1231,41.036
1232,38.598
1233,36.407
1234,31.964
1235,32.030
1236,40.369
1237,53.831
1238,77.687
1239,102.597
1240,140.255
1241,171.586
1242,213.641
1243,221.913
1244,237.398
1245,235.240
1246,228.890
1247,204.920
1248,180.883
1249,147.039
1250,122.434
1251,92.236
1252,69.051
1253,52.903
1254,37.829
1255,29.596
1256,20.432
1257,26.631
1258,30.702
1259,36.358
1260,37.479
1261,38.181
1262,36.216
1263,32.679
1264,30.922
1265,33.202
1266,46.148
1267,62.596
1268,94.878
1269,126.773
1270,163.029
1271,193.322
1272,215.673
1273,229.652
1274,232.942
1275,232.449
1276,220.478
1277,197.139
1278,170.166
1279,141.892
1280,110.440
1281,82.243
1282,57.774
1283,42.250
1284,27.783
1285,20.763
1286,18.369
1287,22.207
1288,25.573
1289,28.543
1290,30.194
1291,31.708
1292,30.175
1293,28.305
1294,29.521
1295,35.201
1296,50.390
1297,66.628
1298,99.776
1299,126.546
1300,164.386
1301,188.619
1302,204.782
1303,210.826
1304,215.471
1305,207.367
1306,191.101
1307,167.966
1308,139.607
1309,114.965
1310,89.438
1311,66.908
1312,47.935
1313,35.418
1314,25.173
1315,19.061
1316,17.464
1317,20.570
1318,25.049
1319,28.219
1320,30.994
1321,31.402
1322,31.069
1323,29.940
1324,31.527
1325,35.868
1326,50.735
1327,70.558
1328,100.956
1329,129.729
1330,166.656
1331,188.377
1332,207.464
1333,219.734
1334,222.674
1335,216.664
1336,198.531
1337,179.904
1338,153.264
1339,129.926
1340,101.120
1341,76.584
1342,54.579
1343,37.420
1344,25.181
1345,18.820
1346,18.578
1347,22.144
1348,28.069
1349,32.873
1350,36.155
1351,35.647
1352,34.464
1353,31.085
1354,32.685
1355,38.292
1356,49.829
1357,69.356
1358,97.579
1359,126.572
1360,157.766
1361,187.293
1362,207.317
1363,219.604
1364,222.803
1365,220.426
1366,206.170
1367,187.609
1368,158.561
1369,130.934
1370,101.225
1371,76.334
1372,54.694
1373,38.283
1374,26.741
1375,19.881
1376,16.744
1377,17.250
1378,20.521
1379,24.396
1380,27.942
1381,31.968
1382,32.596
1383,30.289
1384,28.949
1385,28.727
1386,31.584
1387,39.828
1388,56.885
1389,81.978
1390,111.329
1391,148.106
1392,177.237
1393,202.116
1394,220.581
1395,228.552
1396,226.007
1397,211.644
1398,191.538
1399,168.065
1400,140.050
1401,112.816
1402,87.556
1403,66.740
1404,46.563
1405,31.723
1406,23.767
1407,19.406
1408,17.428
1409,17.888
1410,19.141
1411,20.159
